COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury Beach State Reservation--Black Rock Creek,42.8230254,-70.8272867,1997-02-09
Townsend's Warbler,Setophaga townsendi,1,Suffolk,South Boston,42.3381181,-71.0467815,1995-12-05
Loggerhead Shrike,Lanius ludovicianus,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1995-09-16
Tundra Swan,Cygnus columbianus,1,Hampshire,Northampton,42.32509,-72.64123,1991-03-26
Franklin's Gull,Leucophaeus pipixcan,1,Plymouth,West Bridgewater,42.019,-71.00779,1997-10-26
Boreal Chickadee,Poecile hudsonicus,2,Hampden,Ashley Reservoir,42.1752583,-72.6591222,1978-01-08
Townsend's Warbler,Setophaga townsendi,1,Suffolk,South Boston,42.3381181,-71.0467815,1995-12-04
Ash-throated Flycatcher,Myiarchus cinerascens,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,1998-12-01
Tundra Swan,Cygnus columbianus,23,Bristol,Westport,41.6354454,-71.0498474,1998-11-15
Green-tailed Towhee,Pipilo chlorurus,1,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,1979-10-29
Ruff,Calidris pugnax,1,Essex,"Joppa Park, Newburyport",42.8064883,-70.857895,1989-05-14
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Dukes,Gay Head,41.34371,-70.81477,1998-08-04
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1997-07-26
White-winged Dove,Zenaida asiatica,1,Plymouth,Daniel Webster Wildlife Sanctuary (Mass Audubon),42.0881122,-70.6772727,1999-07-16
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1997-03-22
Green-tailed Towhee,Pipilo chlorurus,1,Essex,"Flint Street, Marblehead",42.4909128,-70.842247,1995-04-02
Tufted Duck,Aythya fuligula,1,Essex,Salisbury,42.84179,-70.8606,1976-01-01
LeConte's Sparrow,Ammospiza leconteii,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1972-04-02
Painted Bunting,Passerina ciris,1,Barnstable,Brewster,41.7601089,-70.0827637,1994-11-30
American White Pelican,Pelecanus erythrorhynchos,3,Barnstable,Hyannis,41.65291,-70.28277,1996-10-14
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-02
Boreal Chickadee,Poecile hudsonicus,1,Plymouth,Manomet Inc.,41.921005,-70.5442548,1999-10-29
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Middlesex,Wayland MA private home,42.3659482,-71.3595378,1959-06-13
Curlew Sandpiper,Calidris ferruginea,1,Essex,Newburyport,42.8125916,-70.8772964,1974-08-10
Tundra Swan,Cygnus columbianus,1,Essex,Gloucester,42.6158981,-70.6619873,1996-01-01
Lark Bunting,Calamospiza melanocorys,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1996-09-21
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury MA general,42.8517554,-70.8527997,1997-02-08
Tufted Duck,Aythya fuligula,1,Bristol,"Lake Sabbatia, Taunton",41.9418719,-71.1086655,1995-02-26
Harris's Sparrow,Zonotrichia querula,1,Middlesex,Hopkinton,42.2286987,-71.5226135,1995-01-31
