COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Nantucket,Nantucket Airport,41.2560974,-70.0646639,2013-11-15
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-19
Tufted Duck,Aythya fuligula,1,Barnstable,Falmouth Harbor,41.5461351,-70.6036806,2013-03-11
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-12
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-12
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-14
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-15
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-11-30
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-18
Rufous Hummingbird,Selasphorus rufus,1,Barnstable,Falmouth ,41.552456,-70.609811,2013-01-19
Tufted Duck,Aythya fuligula,1,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-14
White-faced Ibis,Plegadis chihi,1,Essex,Pikul's Farm pans,42.7414968,-70.8561516,2013-04-16
Tufted Duck,Aythya fuligula,2,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-07
Pacific Loon,Gavia pacifica,1,Barnstable,Herring Cove Beach,42.0461217,-70.2185583,2013-04-15
Northern Lapwing,Vanellus vanellus,3,Nantucket,"Madaket, Nantucket MA",41.28316,-70.1908779,2013-03-27
Tufted Duck,Aythya fuligula,1,Nantucket,"Madaket, Nantucket MA",41.28316,-70.1908779,2013-03-27
Northern Lapwing,Vanellus vanellus,1,Worcester,Bolton Flats WMA--Bolton,42.4640087,-71.6400582,2013-04-29
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.54925,-70.62149,2013-03-23
Western Tanager,Piranga ludoviciana,1,Essex,Western Tanager Stakeout,42.6409259,-70.5988848,2013-11-18
Purple Gallinule,Porphyrio martinica,1,Essex,Purple Gallinule Spot,42.5411924,-71.0069025,2013-09-21
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Tufted Duck,Aythya fuligula,1,Essex,Veasey Memorial Park,42.7324189,-71.0487986,2013-04-10
White-faced Ibis,Plegadis chihi,1,Essex,"Shea's Furniture, Rte 133 Essex",42.6516685,-70.8025074,2013-04-15
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-22
Cave Swallow,Petrochelidon fulva,1,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,2013-05-27
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-15
Northern Lapwing,Vanellus vanellus,1,Nantucket,hommack pond rd,41.28413,-70.10003,2013-01-13
Ruff,Calidris pugnax,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2013-05-16
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-15
Tufted Duck,Aythya fuligula,1,Essex,Johnson's Pond,42.7616335,-71.0238647,2013-04-10
Rufous Hummingbird,Selasphorus rufus,1,Barnstable,Wellfleet Harbor,41.9174154,-70.0441074,2013-01-05
Western Tanager,Piranga ludoviciana,1,Essex,"Rockport MA, Penzance Rd",42.6403001,-70.595667,2013-11-18
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-18
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Tufted Duck,Aythya fuligula,2,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-01
Brown Booby,Sula leucogaster,1,Barnstable,"Race Point Beach, Provincetown",42.0786041,-70.2249098,2013-10-12
Northern Lapwing,Vanellus vanellus,3,Nantucket,Bartlett's Farm,41.2635367,-70.1245737,2013-03-23
Northern Lapwing,Vanellus vanellus,1,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,2013-01-01
Mountain Bluebird,Sialia currucoides,1,Berkshire,"Field Farm, Williamstown",42.6668172,-73.2594538,2013-04-28
Pacific Loon,Gavia pacifica,1,Essex,Jodrey State Fish Pier,42.61408,-70.65221,2013-03-10
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.5492505,-70.6214905,2013-03-15
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-17
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-13
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Western Tanager,Piranga ludoviciana,1,Essex,"Penzance Rd, Rockport, MA",42.6408175,-70.5989707,2013-11-18
Purple Gallinule,Porphyrio martinica,1,Essex,Devils Dishfull Pond,42.5403071,-71.0065269,2013-09-16
Mississippi Kite,Ictinia mississippiensis,7,Barnstable,"Pilgrim Heights, North Truro",42.0574502,-70.1055622,2013-06-01
Mississippi Kite,Ictinia mississippiensis,2,Barnstable,"Pilgrim Heights, North Truro",42.0574502,-70.1055622,2013-05-27
Tufted Duck,Aythya fuligula,1,Barnstable,Falmouth Inner Harbor,41.5464241,-70.6023502,2013-03-12
Pacific Loon,Gavia pacifica,1,Essex,"Gloucester, 377 Main Street",42.61509,-70.65354,2013-03-10
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Dukes,Great Pond Dunes,41.349671,-70.5469036,2013-07-08
American White Pelican,Pelecanus erythrorhynchos,1,Middlesex,"Stoneham, 4 Woodland Road",42.45556,-71.09136,2013-06-01
Tufted Duck,Aythya fuligula,1,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-01
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Nantucket,Nantucket Airport,41.2603871,-70.0591829,2013-11-17
Mountain Bluebird,Sialia currucoides,1,Berkshire,"Field Farm, Williamstown",42.6668172,-73.2594538,2013-04-28
Northern Lapwing,Vanellus vanellus,1,Worcester,Bolton Flats WMA--Bolton,42.4640087,-71.6400582,2013-04-27
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.5492505,-70.6214905,2013-03-13
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.5492505,-70.6214905,2013-03-20
Brown Booby,Sula leucogaster,1,Plymouth,Stellwagen Bank--SW Corner,42.1458247,-70.5253601,2013-07-07
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-14
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-12
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,"42.4568x-71.3090 - Feb 13, 2013, 11:06 AM",42.4568,-71.308971,2013-02-13
Mississippi Kite,Ictinia mississippiensis,7,Barnstable,"Pilgrim Heights, North Truro",42.0574502,-70.1055622,2013-06-01
Purple Gallinule,Porphyrio martinica,1,Essex,Devils Dishfull Pond,42.5403071,-71.0065269,2013-09-17
Northern Lapwing,Vanellus vanellus,2,Nantucket,NE Field  Hummock Pond Rd / Millbrook Rd,41.2699557,-70.1254722,2013-01-07
Pacific Loon,Gavia pacifica,1,Essex,East Gloucester seawatch,42.5931535,-70.6448847,2013-03-13
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Western Tanager,Piranga ludoviciana,1,Essex,"Jerdens Lane, Rockport",42.6516211,-70.6115878,2013-12-24
South Polar Skua,Stercorarius maccormicki,1,Barnstable,East of Chatham,41.6719801,-69.7999191,2013-07-05
Western Tanager,Piranga ludoviciana,1,Essex,"Jerdens Lane, Rockport",42.6516211,-70.6115878,2013-12-19
Tufted Duck,Aythya fuligula,1,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-05
Tufted Duck,Aythya fuligula,2,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-08
Northern Lapwing,Vanellus vanellus,3,Nantucket,Bartlett Farm,41.2581622,-70.1319551,2013-03-11
Mountain Bluebird,Sialia currucoides,1,Berkshire,"Field Farm, Williamstown",42.6668172,-73.2594538,2013-04-28
American White Pelican,Pelecanus erythrorhynchos,1,Norfolk,Lake Massapoag,42.1113881,-71.1781883,2013-05-30
Western Tanager,Piranga ludoviciana,1,Essex,Rockport,42.6557007,-70.6202927,2013-11-16
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,Provincetown (general area),42.0640775,-70.213623,2013-06-02
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Shadyside Avenue Concord Ma,42.4570473,-71.3088441,2013-02-12
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-15
Ruff,Calidris pugnax,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2013-05-16
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-15
Ruff,Calidris pugnax,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2013-05-14
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-22
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-08
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-21
Mew Gull,Larus canus,1,Essex,"King's Beach, Lynn/Swampscott",42.4667154,-70.9221983,2013-01-20
Brown Pelican,Pelecanus occidentalis,1,Essex,"The cove, Jeffrey's ledge, Gulf of Maine",42.47,-70.2,2013-12-21
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Western Tanager,Piranga ludoviciana,1,Essex,"Jerdens Lane, Rockport",42.6516211,-70.6115878,2013-12-26
Tufted Duck,Aythya fuligula,1,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-03-30
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Shady Side Ave,42.4566159,-71.3089085,2013-02-15
Mountain Bluebird,Sialia currucoides,1,Berkshire,"Field Farm, Williamstown",42.6668172,-73.2594538,2013-04-28
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.54925,-70.62149,2013-03-23
Northern Lapwing,Vanellus vanellus,2,Nantucket,"Hummock Pond Road fields, Nantucket",41.2646286,-70.1258645,2013-01-21
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.5492505,-70.6214905,2013-03-16
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-23
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-21
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-14
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
Ruff,Calidris pugnax,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2013-05-17
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-14
Black-throated Gray Warbler,Setophaga nigrescens,1,Nantucket,Nantucket--Jackson Point,41.2747344,-70.2025938,2013-10-14
Mew Gull,Larus canus,1,Essex,"King's Beach, Lynn/Swampscott",42.4667154,-70.9221983,2013-01-05
Curlew Sandpiper,Calidris ferruginea,1,Essex,Parker River NWR--Bill Forward Pool,42.7368477,-70.7942462,2013-08-11
Western Tanager,Piranga ludoviciana,1,Essex,"Jerdens Lane, Rockport",42.6516211,-70.6115878,2013-12-25
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-17
Western Tanager,Piranga ludoviciana,1,Essex,South St Rocport Rte 127,42.6400204,-70.6008911,2013-11-17
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,"Shadyside Avenue, Concord, MA",42.4571541,-71.3087475,2013-02-14
Pacific Loon,Gavia pacifica,1,Essex,Gloucester Harbor,42.599229,-70.669039,2013-03-17
Tufted Duck,Aythya fuligula,1,Barnstable,Falmouth Inner Harbor mouth,41.5441396,-70.6048179,2013-03-11
Ruff,Calidris pugnax,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,2013-05-15
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-11
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-20
Ruff,Calidris pugnax,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2013-05-15
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm Conservation Land,42.4593895,-71.3106253,2013-02-13
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-05
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2013-12-01
Western Tanager,Piranga ludoviciana,1,Essex,Loblolly Cove,42.6413139,-70.5951932,2013-11-18
Western Tanager,Piranga ludoviciana,1,Essex,"Jerdens Lane, Rockport",42.6516211,-70.6115878,2013-12-20
Tufted Duck,Aythya fuligula,1,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-15
Tufted Duck,Aythya fuligula,2,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-06
Tufted Duck,Aythya fuligula,2,Essex,"Johnson's Pond, Groveland",42.7336878,-71.0580805,2013-04-07
Pacific Loon,Gavia pacifica,1,Essex,Gloucester Beech,42.6096746,-70.6674957,2013-03-29
Northern Lapwing,Vanellus vanellus,2,Nantucket,Bartlett's Farm,41.2635367,-70.1245737,2013-02-23
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,Kaveski Farm,42.4558876,-71.309166,2013-02-12
Pacific Loon,Gavia pacifica,1,Barnstable,Herring Cove Beach,42.0461217,-70.2185583,2013-03-30
LeConte's Sparrow,Ammospiza leconteii,1,Middlesex,"Concord, 143-399 Shadyside Avenue",42.4571,-71.30885,2013-02-13
Tufted Duck,Aythya fuligula,1,Nantucket,Long Pond,41.2834825,-70.1676178,2013-03-23
Tufted Duck,Aythya fuligula,1,Barnstable,Siders Pond,41.5492505,-70.6214905,2013-03-24
White-winged Dove,Zenaida asiatica,1,Suffolk,Kennedy Library seawall,42.3134015,-71.0329628,2013-12-21
Black-throated Gray Warbler,Setophaga nigrescens,1,Bristol,"stakeout Black-throated Gray Warbler, Taunton (Jan 2013)",41.898428,-71.1745191,2013-01-13
Tundra Swan,Cygnus columbianus,1,Bristol,US-MA-Seekonk-926-954 County St,41.811622,-71.294121,2014-12-12
Ruff,Calidris pugnax,1,Essex,"Joppa Park, Newburyport",42.8064883,-70.857895,2014-04-28
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Meadow St. fields,42.4058721,-72.5459862,2014-03-29
Say's Phoebe,Sayornis saya,1,Franklin,Greenfield Stop & Shop parking lot,42.606595,-72.5739187,2014-10-03
Townsend's Warbler,Setophaga townsendi,1,Essex,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,2014-12-22
Townsend's Warbler,Setophaga townsendi,1,Essex,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,2014-12-19
Tufted Duck,Aythya fuligula,1,Barnstable,"Salt Pond, Falmouth",41.542976,-70.62774,2014-12-15
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"Evergreen Cemetery, Marion",41.6992797,-70.7692909,2014-12-07
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-14
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-13
Pacific Loon,Gavia pacifica,1,Barnstable,Herring Cove Beach,42.0461217,-70.2185583,2014-04-19
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Knightly Road,42.3984883,-72.5512004,2014-03-28
Barnacle Goose,Branta leucopsis,1,Worcester,Maple Farm Sanctuary (Restricted Access),42.12341,-71.56684,2014-03-03
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Parker River NWR,42.7639008,-70.8022995,2014-08-30
Swallow-tailed Kite,Elanoides forficatus,1,Norfolk,Cohasset--Little Harbor and Sandy Beach,42.2557766,-70.8008766,2014-05-04
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,"Main St., Hatfield",42.4200351,-72.5902748,2014-03-23
Tufted Duck,Aythya fuligula,1,Nantucket,Nantucket - West End,41.2823216,-70.172596,2014-04-09
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Pilgram Airport-Hampshire County,42.4191955,-72.5905108,2014-03-23
Rufous Hummingbird,Selasphorus rufus,1,Barnstable,US-MA-Brewster-37 Eagle Wing Ln,41.77535,-70.040172,2014-10-14
Eared Grebe,Podiceps nigricollis,1,Worcester,Quaboag Pond,42.1969851,-72.069314,2014-11-16
White-faced Ibis,Plegadis chihi,1,Essex,Route 1A Salt Pans,42.7513099,-70.8551967,2014-05-12
Eared Grebe,Podiceps nigricollis,X,Worcester,Quaboag Pond,42.1969851,-72.069314,2014-11-16
White-faced Ibis,Plegadis chihi,1,Essex,Hamlin Reservation,42.6701936,-70.8094597,2014-04-28
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,"Stockbridge Rd, Hadley",42.3899109,-72.5490117,2014-03-27
Tufted Duck,Aythya fuligula,1,Nantucket,"North Head Long Pond, Nantucket, MA",41.2866912,-70.170064,2014-12-29
Barnacle Goose,Branta leucopsis,1,Worcester,"Maple Farm, Mendon, MA",42.1232356,-71.5662101,2014-03-02
Pink-footed Goose,Anser brachyrhynchus,1,Hampden,Fannie Stebbins Wildlife Refuge,42.0332033,-72.5975322,2014-03-24
Townsend's Warbler,Setophaga townsendi,1,Essex,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,2014-12-18
Townsend's Warbler,Setophaga townsendi,1,Essex,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,2014-12-21
Townsend's Warbler,Setophaga townsendi,1,Essex,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,2014-12-23
Tufted Duck,Aythya fuligula,1,Barnstable,"Salt Pond, Falmouth",41.542976,-70.62774,2014-12-21
Pacific Loon,Gavia pacifica,1,Barnstable,"Race Point Beach, Provincetown",42.0786041,-70.2249098,2014-02-01
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"Evergreen Cemetery, Marion",41.6992797,-70.7692909,2014-12-07
Western Tanager,Piranga ludoviciana,1,Essex,"Starknaught Heights, Gloucester",42.6264321,-70.6307629,2014-01-02
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"Evergreen Cemetery, Marion",41.6992797,-70.7692909,2014-12-06
Pacific Loon,Gavia pacifica,1,Barnstable,"Race Point Beach, Provincetown",42.0786041,-70.2249098,2014-02-01
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-14
Ash-throated Flycatcher,Myiarchus cinerascens,1,Barnstable,Harwich Community Gardens,41.6746909,-70.0910568,2014-11-11
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-13
Ash-throated Flycatcher,Myiarchus cinerascens,1,Barnstable,Harwich Community Gardens,41.6746909,-70.0910568,2014-11-12
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-14
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-14
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-13
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Parker River NWR--Stage Island Pool,42.710964,-70.7760179,2014-08-30
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Parker River NWR,42.7639008,-70.8022995,2014-08-30
Barnacle Goose,Branta leucopsis,1,Worcester,Maple Farm Sanctuary (Restricted Access),42.12341,-71.56684,2014-03-04
Barnacle Goose,Branta leucopsis,1,Worcester,Maple Farm Sanctuary (Restricted Access),42.12341,-71.56684,2014-03-11
Pink-footed Goose,Anser brachyrhynchus,1,Hampden,"Congamond Lakes, Southwick",42.0268539,-72.7576447,2014-03-31
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,"Main St., Hatfield",42.4200351,-72.5902748,2014-03-23
Eared Grebe,Podiceps nigricollis,1,Barnstable,Mashpee Pond--Attaquin Park,41.6515592,-70.4834533,2014-12-02
Eared Grebe,Podiceps nigricollis,1,Barnstable,Mashpee Pond--Attaquin Park,41.6515592,-70.4834533,2014-11-21
Eared Grebe,Podiceps nigricollis,1,Barnstable,Mashpee Pond--Attaquin Park,41.6515592,-70.4834533,2014-11-21
Rufous Hummingbird,Selasphorus rufus,1,Middlesex,"stakeout Rufous Hummingbird, Townsend (2014)",42.6816625,-71.7192596,2014-07-23
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Sandy Point State Reservation,42.7035658,-70.7790756,2014-07-18
Tufted Duck,Aythya fuligula,1,Barnstable,"Falmouth, Siders, Salt Ponds, Surf Avenue",41.5433406,-70.6268549,2014-12-13
Eared Grebe,Podiceps nigricollis,1,Worcester,Quaboag Pond,42.1969851,-72.069314,2014-11-16
Eared Grebe,Podiceps nigricollis,1,Worcester,Quaboag Pond,42.1969851,-72.069314,2014-11-15
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Roosevelt Street-Hadley,42.3955384,-72.5459003,2014-03-25
Rufous Hummingbird,Selasphorus rufus,1,Barnstable,"stakeout Rufous Hummingbird--Eagle Lane, Brewster (2014)",41.7756964,-70.0396657,2014-10-13
Eared Grebe,Podiceps nigricollis,1,Worcester,Quaboag Pond,42.1969851,-72.069314,2014-11-16
LeConte's Sparrow,Ammospiza leconteii,1,Barnstable,US-MA-Eastham-4790 State Hwy,41.860156,-69.984121,2014-12-14
South Polar Skua,Stercorarius maccormicki,1,Nantucket,BBC Pelagic 24 Aug 2014--leg 14,40.886593,-69.467776,2014-08-24
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Meadow St. fields,42.4058721,-72.5459862,2014-03-29
South Polar Skua,Stercorarius maccormicki,1,Nantucket,BBC Pelagic 24 Aug 2014--leg 14,40.886593,-69.467776,2014-08-24
Barnacle Goose,Branta leucopsis,1,Worcester,101 North Road Maple Hill Sanctuary Mendon MA,42.1251024,-71.5699745,2014-03-02
Harris's Sparrow,Zonotrichia querula,1,Essex,"Maple Street, Wentham",42.5999773,-70.9203637,2014-01-11
White-faced Ibis,Plegadis chihi,1,Essex,Hamlin Reservation,42.6701936,-70.8094597,2014-05-05
Rufous Hummingbird,Selasphorus rufus,1,Barnstable,US-MA-Brewster-27 Eagle Wing,41.775336,-70.039747,2014-10-11
Pacific Loon,Gavia pacifica,1,Barnstable,"Race Point Beach, Provincetown",42.0786041,-70.2249098,2014-02-01
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"Evergreen Cemetery, Marion",41.6992797,-70.7692909,2014-12-06
Ash-throated Flycatcher,Myiarchus cinerascens,1,Barnstable,Harwich Community Gardens,41.6746909,-70.0910568,2014-11-09
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,2014-05-13
Barnacle Goose,Branta leucopsis,1,Worcester,Maple Farm Sanctuary (Restricted Access),42.12341,-71.56684,2014-03-09
Gull-billed Tern,Gelochelidon nilotica,1,Barnstable,"Monomoy NWR--South Beach, Chatham",41.6298145,-69.9609375,2014-07-12
Barnacle Goose,Branta leucopsis,1,Worcester,Maple Farm Sanctuary (Restricted Access),42.12341,-71.56684,2014-03-07
Tufted Duck,Aythya fuligula,1,Nantucket,"Madaket, Nantucket MA",41.28316,-70.1908779,2014-04-09
Mississippi Kite,Ictinia mississippiensis,2,Bristol,Borderland SP--Bristol County,42.0625004,-71.1636347,2014-06-06
Pink-footed Goose,Anser brachyrhynchus,1,Franklin,Pilgrim Airport,42.4218884,-72.593751,2014-03-23
Barnacle Goose,Branta leucopsis,1,Middlesex,"Nine Acre Corner, Concord",42.4185144,-71.3713932,2014-03-31
Rufous Hummingbird,Selasphorus rufus,X,Suffolk,Roslindale,42.2877162,-71.1295301,2014-11-16
Eared Grebe,Podiceps nigricollis,1,Barnstable,Mashpee Pond--Attaquin Park,41.6515592,-70.4834533,2014-11-22
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,Amherst -- Russelville Rd,42.41006,-72.544721,2014-03-29
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,2014-08-30
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,US-MA-Hadley-28-74 Stockbridge Rd,42.392216,-72.556084,2014-03-24
Pink-footed Goose,Anser brachyrhynchus,1,Hampshire,US-MA-Hadley-28-74 Stockbridge Rd,42.391867,-72.555335,2014-03-25
