COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/2/1997	obsr276568
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Ipswich	42.67929	-70.84119	1/2/1983	obsr52135
Tundra Swan	Cygnus columbianus	9	Massachusetts	Dukes	Squibnocket	41.30701	-70.77447	12/6/1994	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/15/1997	obsr276568
Tundra Swan	Cygnus columbianus	2	Massachusetts	Worcester	Wachusett Reservoir (please use more refined location)	42.3828911	-71.7277861	1/4/1999	obsr216617
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	"Rantoul (Sagamore) Pond, Ipswich"	42.6780185	-70.793066	12/9/1978	obsr52135
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	"Lower Mill Pond, Easthampton, MA"	42.2747508	-72.6561295	4/7/1998	obsr451527
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Cape Ann (please use more refined location)	42.657793	-70.6332529	12/22/1973	obsr52135
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	"Mill Pond, Easthampton"	42.2746415	-72.6567078	4/8/1998	obsr22491
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/15/1997	obsr193047
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/2/1997	obsr506749
Tundra Swan	Cygnus columbianus	8	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	12/12/1998	obsr339145
Tundra Swan	Cygnus columbianus	16	Massachusetts	Worcester	Sturbridge	42.10839	-72.07872	11/12/1998	obsr216617
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Newton	42.337	-71.2092	3/1/1997	obsr39970
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/2/1997	obsr334177
