common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,10/3/2002,obsr339145,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Middlesex,Westford,42.57929,-71.43781,1/23/2002,obsr339145,0101000020E610000027F73B1405DC51C02E73BA2C264A4540
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,1/5/2002,obsr339145,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Berkshire,Windsor,42.51178,-73.05784,1/5/2002,obsr339145,0101000020E6100000A4198BA6B34352C09A5FCD0182414540
Ruff,Calidris pugnax,1,Massachusetts,Essex,Joppa Flats Education Center (Mass Audubon),42.7994077,-70.8468658,4/24/2002,obsr319662,0101000020E610000075C69C0C33B651C0D6D5D3FD52664540
Pacific Loon,Gavia pacifica,1,Massachusetts,Plymouth,North Scituate,42.219,-70.78559,11/2/2002,obsr339145,0101000020E61000002384471B47B251C079E92631081C4540
Tufted Duck,Aythya fuligula,1,Massachusetts,Worcester,"Wachusett Reservoir, Gate 25 (Gates Cove)",42.3691648,-71.7794166,1/27/2002,obsr451527,0101000020E610000069BD29F6E1F151C0CD6ACBCA402F4540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Hampshire,Granby,42.25649,-72.51623,3/1/2002,obsr339145,0101000020E6100000B3CD8DE9092152C022E010AAD4204540
Tufted Duck,Aythya fuligula,1,Massachusetts,Plymouth,"Great Sandy Bottom Pond, Pembroke",42.048974,-70.8322906,4/14/2002,obsr44478,0101000020E61000002AF1CA3F44B551C05A2DB0C744064540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Berkshire,Windsor,42.51178,-73.05784,3/18/2002,obsr339145,0101000020E6100000A4198BA6B34352C09A5FCD0182414540
Ruff,Calidris pugnax,1,Massachusetts,Essex,Joppa Flats Education Center (Mass Audubon),42.7994077,-70.8468658,4/24/2002,obsr131741,0101000020E610000075C69C0C33B651C0D6D5D3FD52664540
Boreal Chickadee,Poecile hudsonicus,2,Massachusetts,Hampshire,Quabbin Reservoir--Gate 6,42.3055194,-72.3851694,1/29/2002,obsr339145,0101000020E6100000E01A8E9DA61852C093A57B421B274540
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,1/12/2002,obsr339145,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Boreal Chickadee,Poecile hudsonicus,2,Massachusetts,Hampshire,Quabbin Reservoir--Gate 6,42.3055194,-72.3851694,1/29/2002,obsr340174,0101000020E6100000E01A8E9DA61852C093A57B421B274540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Middlesex,Lincoln,42.42589,-71.3039,6/6/2002,obsr339145,0101000020E61000004850FC1873D351C0C3D8429083364540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Berkshire,Pontoosuc Lake,42.4958967,-73.2485962,11/17/2002,obsr339145,0101000020E61000003B3A0900E94F52C0E058068B793F4540
Barnacle Goose,Branta leucopsis,1,Massachusetts,Essex,Argilla Road,42.6645766,-70.8080649,11/8/2002,obsr149856,0101000020E6100000EAA2D755B7B351C0EB5795D810554540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,Cape Ann-general area,42.6422933,-70.6501579,11/10/2002,obsr141921,0101000020E61000001B6FE12F9CA951C04FF8B6AA36524540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Hampshire,Granby,42.25649,-72.51623,3/4/2002,obsr339145,0101000020E6100000B3CD8DE9092152C022E010AAD4204540
