common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Barnstable,"Fort Hill, Eastham, MA",41.8176979,-69.9619598,11/24/2012,obsr297472,0101000020E61000004544D6BF907D51C002412553AAE84440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Summer Street--Bridgewater,41.9579583,-70.9488702,12/8/2012,obsr288407,0101000020E61000008949134ABABC51C044B7A8609EFA4440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,"Farm field, Bridgewater, Mass.",41.9531073,-70.9416819,11/25/2012,obsr436721,0101000020E61000000DEF288444BC51C0188A856BFFF94440
Mountain Bluebird,Sialia currucoides,1,Massachusetts,Essex,Good Harbor Beach & Marsh,42.61992,-70.63346,11/11/2012,obsr104070,0101000020E6100000BFD4CF9B8AA851C07311DF89594F4540
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,11/29/2012,obsr134372,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,11/22/2012,obsr126092,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,12/30/2012,obsr189534,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,12/13/2012,obsr379529,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Say's Phoebe,Sayornis saya,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,10/5/2012,obsr204155,0101000020E6100000388600E058B351C0B2B15C80C7614540
Say's Phoebe,Sayornis saya,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,10/5/2012,obsr201997,0101000020E6100000388600E058B351C0B2B15C80C7614540
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Cumberland Farms,41.945,-70.879,11/12/2012,obsr965477,0101000020E6100000C74B378941B851C0295C8FC2F5F84440
